#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q9Y2D8	uniprotkb:B1AY10	intact:EBI-2212028|uniprotkb:B4DFE3|uniprotkb:J3KR02|uniprotkb:A8K8W0|uniprotkb:D3DT13|uniprotkb:Q6P2P8|uniprotkb:Q6ULS1|uniprotkb:Q7L168|uniprotkb:Q9UIX0|intact:EBI-10964529	intact:EBI-11707102|uniprotkb:Q3U2A7|uniprotkb:Q3UK95|uniprotkb:Q3UMW1|uniprotkb:Q7TPT4|uniprotkb:Q8CC59|uniprotkb:Q9DBC8|uniprotkb:Q9JKW7	psi-mi:adip_human(display_long)|uniprotkb:SSX2IP(gene name)|psi-mi:SSX2IP(display_short)|uniprotkb:KIAA0923(gene name synonym)|uniprotkb:Afadin DIL domain-interacting protein(gene name synonym)|uniprotkb:SSX2-interacting protein(gene name synonym)	psi-mi:nfx1_mouse(display_long)|uniprotkb:Nfx1(gene name)|psi-mi:Nfx1(display_short)|uniprotkb:Nuclear transcription factor, X box-binding protein 1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Kurtulmus et al. (2016)	pubmed:26675238|imex:IM-25299	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-11695166|imex:IM-25299-9	intact-miscore:0.35
uniprotkb:P20081	uniprotkb:P53971	intact:EBI-6961|uniprotkb:D6W147	intact:EBI-28638|uniprotkb:D6W1F6	psi-mi:fkbp_yeast(display_long)|uniprotkb:Peptidyl-prolyl cis-trans isomerase(gene name synonym)|uniprotkb:Rapamycin-binding protein(gene name synonym)|uniprotkb:RBP1(gene name synonym)|uniprotkb:N1213(orf name)|uniprotkb:N1845(orf name)|uniprotkb:YNL135C(locus name)|uniprotkb:FPR1(gene name)|psi-mi:FPR1(display_short)|uniprotkb:FKB1(gene name synonym)	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-785942	intact-miscore:0.61
uniprotkb:P40449	uniprotkb:P53971	intact:EBI-25311|uniprotkb:D6VVC5	intact:EBI-28638|uniprotkb:D6W1F6	psi-mi:yiq1_yeast(display_long)|uniprotkb:YIL161W(locus name)	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:"MI:0676"(tandem affinity purification)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-789007	intact-miscore:0.63
uniprotkb:P38042	uniprotkb:P53971	intact:EBI-4249|uniprotkb:D6VPS0	intact:EBI-28638|uniprotkb:D6W1F6	psi-mi:cdc27_yeast(display_long)|uniprotkb:Cell division control protein 27(gene name synonym)|uniprotkb:Anaphase-promoting complex subunit 3(gene name synonym)|uniprotkb:YBL0718(orf name)|uniprotkb:APC3(gene name synonym)|uniprotkb:CDC27(gene name)|psi-mi:CDC27(display_short)|uniprotkb:SNB1(gene name synonym)|uniprotkb:YBL084C(locus name)	psi-mi:fap1_yeast(display_long)|uniprotkb:N2812(orf name)|uniprotkb:YNL023C(locus name)|uniprotkb:FAP1(gene name)|psi-mi:FAP1(display_short)	psi-mi:"MI:0363"(inferred by author)	Gavin et al. (2006)	pubmed:16429126	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	taxid:559292(yeast)|taxid:559292(Saccharomyces cerevisiae)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-815962	intact-miscore:0.27
uniprotkb:Q8IMY3	uniprotkb:P40798	intact:EBI-151762	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:q8imy3_drome(display_long)|uniprotkb:gba2(gene name synonym)|uniprotkb:CG31414(orf name)|uniprotkb:Dmel_CG31414(orf name)|uniprotkb:Gba1b(gene name)|psi-mi:Gba1b(display_short)|uniprotkb:GBA1b(gene name synonym)|uniprotkb:Dmel\CG31414(gene name synonym)|uniprotkb:dGBA1b(gene name synonym)|uniprotkb:CG10299(gene name synonym)|uniprotkb:dGba1(gene name synonym)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-263745|imex:IM-16524-15390	author score:0.37|author score:low|intact-miscore:0.37
uniprotkb:Q9W495	uniprotkb:P40798	intact:EBI-107353|uniprotkb:Q8T8Q8	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:pgap1_drome(display_long)|uniprotkb:PGAP1(gene name)|psi-mi:PGAP1(display_short)|uniprotkb:Post-GPI attachment to proteins factor 1(gene name synonym)|uniprotkb:CG3160(orf name)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-263969|imex:IM-16524-15445	author score:0.46|author score:low|intact-miscore:0.37
uniprotkb:Q9W1X4	uniprotkb:P40798	intact:EBI-102000|uniprotkb:Q8T3K4	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:nu214_drome(display_long)|uniprotkb:Nup214(gene name)|psi-mi:Nup214(display_short)|uniprotkb:CG3820(orf name)|uniprotkb:Nucleoporin Nup214(gene name synonym)|uniprotkb:214 kDa nucleoporin(gene name synonym)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-270189|imex:IM-16524-16899	author score:0.51|author score:high|intact-miscore:0.37
uniprotkb:Q9VXE6	uniprotkb:P40798	intact:EBI-178209|uniprotkb:Q1LZ48	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:nu153_drome(display_long)|uniprotkb:153 kDa nucleoporin(gene name synonym)|uniprotkb:Nucleoporin Nup153(gene name synonym)|uniprotkb:CG4453(orf name)|uniprotkb:Nup153(gene name)|psi-mi:Nup153(display_short)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-270193|imex:IM-16524-16900	author score:0.20|author score:low|intact-miscore:0.37
uniprotkb:Q9VV44	uniprotkb:P40798	intact:EBI-143067	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:q9vv44_drome(display_long)|uniprotkb:Cpr72Ea(gene name)|psi-mi:Cpr72Ea(display_short)|uniprotkb:CG4818(orf name)|uniprotkb:Dmel\CG4818(gene name synonym)|uniprotkb:Dmel_CG4818(orf name)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-270197|imex:IM-16524-16901	author score:0.15|author score:low|intact-miscore:0.37
uniprotkb:Q9VDV3	uniprotkb:P40798	intact:EBI-123251|uniprotkb:Q8SYM7	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:nup58_drome(display_long)|uniprotkb:Nucleoporin Nup58(gene name synonym)|uniprotkb:CG7360(orf name)|uniprotkb:Nup58(gene name)|psi-mi:Nup58(display_short)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-270201|imex:IM-16524-16902	author score:0.15|author score:low|intact-miscore:0.37
uniprotkb:Q7K126	uniprotkb:P40798	intact:EBI-122840|intact:EBI-3411693	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:q7k126_drome(display_long)|uniprotkb:Not3(gene name)|psi-mi:Not3(display_short)|uniprotkb:"l(2)NC136"(gene name synonym)|uniprotkb:"l(2)NC136-RA"(gene name synonym)|uniprotkb:5(gene name synonym)|uniprotkb:CNOT3(gene name synonym)|uniprotkb:Dmel\CG8426(gene name synonym)|uniprotkb:NOT3(gene name synonym)|uniprotkb:NOT3.5(gene name synonym)|uniprotkb:not3(gene name synonym)|uniprotkb:CG8426(orf name)|uniprotkb:Dmel_CG8426(orf name)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-270205|imex:IM-16524-16903	author score:0.48|author score:low|intact-miscore:0.37
uniprotkb:Q8IQN0	uniprotkb:P40798	intact:EBI-174935	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:q8iqn0_drome(display_long)|uniprotkb:Dmel\CG13073(gene name)|psi-mi:Dmel\CG13073(display_short)|uniprotkb:CG13073(orf name)|uniprotkb:Dmel_CG13073(orf name)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-227229|imex:IM-16524-6825	author score:0.59|author score:high|intact-miscore:0.37
uniprotkb:O16011-3	uniprotkb:P40798	intact:EBI-199389	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:o16011-3(display_long)|uniprotkb:mbl(gene name)|psi-mi:mbl(display_short)|uniprotkb:mm(gene name synonym)|uniprotkb:Protein mindmelt(gene name synonym)|uniprotkb:CG33197(orf name)|uniprotkb:Begemann-D(isoform synonym)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-236735|imex:IM-16524-9061	author score:0.21|author score:low|intact-miscore:0.37
uniprotkb:Q7K0D8	uniprotkb:P40798	intact:EBI-194571	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:nup50_drome(display_long)|uniprotkb:Nup50(gene name)|psi-mi:Nup50(display_short)|uniprotkb:50 kDa nucleoporin(gene name synonym)|uniprotkb:CG2158(orf name)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-257398|imex:IM-16524-13903	author score:0.11|author score:low|intact-miscore:0.37
uniprotkb:Q7JW00	uniprotkb:P40798	intact:EBI-187555	intact:EBI-88209|uniprotkb:Q8IP49|uniprotkb:Q9VJQ1|uniprotkb:Q9Y0Z5	psi-mi:q7jw00_drome(display_long)|uniprotkb:COX7C(gene name)|psi-mi:COX7C(display_short)|uniprotkb:CoVIIc(gene name synonym)|uniprotkb:"BcDNA:LD14731"(gene name synonym)|uniprotkb:COXO(gene name synonym)|uniprotkb:CoAVIIc(gene name synonym)|uniprotkb:Dmel\CG2249(gene name synonym)|uniprotkb:VIIc(gene name synonym)|uniprotkb:"anon-EST:fe3A1"(gene name synonym)|uniprotkb:CG2249(orf name)|uniprotkb:Dmel_CG2249(orf name)	psi-mi:stc_drome(display_long)|uniprotkb:CG3647(orf name)|uniprotkb:stc(gene name)|psi-mi:stc(display_short)	psi-mi:"MI:0018"(two hybrid)	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	taxid:7227(drome)|taxid:7227("Drosophila melanogaster (Fruit fly)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-258246|imex:IM-16524-14109	author score:0.39|author score:low|intact-miscore:0.37
